N5.txt,N4.txt,N3.txt,N2.txt,N1.txt
会う,あ,愛,あいかわらず,嗚呼
青,ああ,愛情,アイデア,相
青い,間,合図,あいまい,相変わらず
赤,合う,愛する,遭う,愛想
赤い,あかちゃん,相手,扇ぐ,相対
明るい,上る,あいにく,青白い,間柄
秋,赤ん坊,明かり,あかんぼう,愛憎
開く,空く,空き,明き,合間
開ける,あげる,明らか,あきれる,曖昧
上げる,浅い,諦める,アクセント,敢えて
朝,味,飽きる,あくび,仰ぐ
朝御飯,明日,握手,飽くまで,垢
あさって,遊び,悪魔,明け方,亜科
足,集る,明ける,揚げる,銅
明日,集める,預ける,挙げる,証
あそこ,謝る,汗,あげる,赤字
遊ぶ,安心,与える,憧れる,明かす
暖かい,安全,暖かい,足跡,赤ちゃん
頭,あんな,辺り,味わう,明白
新しい,以下,当たる,預かる,赤らむ
あちら,以外,あちこち,暖まる,明るい
暑い,医学,あっ,暖める,上がり
熱い,生きる,扱う,あたりまえ,上がる
厚い,意見,集まり,あちら,商人
あっち,石,当てる,あちらこちら,空間
後,いじめる,跡,厚かましい,諦め
あなた,以上,穴,圧縮,呆れる
兄,急ぐ,浴びる,宛名,悪
姉,致す,油,あてはまる,灰
あの,一度,余り,あてはめる,あくどい
あの,一生懸命,誤り,暴れる,悪日
アパート,いっぱい,粗い,脂,明くる
あびる,糸,嵐,あぶる,憧れ
危ない,以内,新た,あふれる,顎
甘い,田舎,あらゆる,雨戸,麻
あまり,祈る,表す,甘やかす,明後日
雨,いらっしゃる,現す,余る,朝寝坊
飴,植える,現れ,編物,浅ましい
洗う,受付,現れる,編む,字
ある,受ける,ありがとう,危うい,欺く
歩く,動く,有る,怪しい,鮮やか
あれ,うち,或,荒い,あざ笑う
いい,打つ,あるいは,粗い,味わい
いいえ,美しい,泡,あらすじ,東
言う,写す,合わせる,争う,焦る
家,移る,哀れ,改めて,彼処
いかが,腕,案,改める,値
行く,裏,暗記,著す,値する
いくつ,売り場,安定,有難い,私
いくら,うん,案内,在る,当たり
池,運転手,あんなに,あれこれ,当たり前
医者,枝,あんまり,あわただしい,他人
いす,選ぶ,胃,あわてる,彼方此方
忙しい,遠慮,委員,安易,彼方
痛い,おいでになる,いえ,案外,彼方此方
一,お祝い,意外,アンテナ,悪化
一日,おかげ,息,言い出す,呆気ない
いちばん,おかしい,行き,言い付ける,悪口
いつ,億,勢い,意義,あっさり
五日,屋上,生き物,生き生き,圧迫
一緒,贈り物,幾つ,いきなり,扱い
五つ,送る,幾ら,育児,集まる
いつも,遅れる,いけない,幾分,誂える
犬,起す,医師,生け花,圧力
今,行う,意思,以後,当て
意味,怒る,意志,以降,宛
妹,押し入れ,維持,イコール,当て字
嫌,お嬢さん,意識,勇ましい,当てはまる
入口,お宅,異常,衣食住,当てはめる
居る,落ちる,椅子,意地悪,宛てる
要る,おっしゃる,泉,いちいち,跡継ぎ
入れる,夫,いずれ,一応,後回し
色,おつり,以前,一段と,貴女
いろいろ,音,板,一流,彼の
上,落す,偉大,佚,溢れる
後ろ,踊り,抱く,一昨日,油絵
薄い,踊る,いたずら,一昨年,炙る
歌,驚く,いただきます,一斉,あべこべ
歌う,お祭り,頂く,一旦,甘える
生まれる,お見舞い,痛み,一定,甘口
海,お土産,至る,いってらっしゃい,雨具
売る,思い出す,市,いってまいります,天
煩い,思う,位置,いつのまにか,網
上着,おもちゃ,一時,移転,天地
絵,表,一度に,井戸,操る
映画,親,市場,緯度,あやふや
映画館,泳ぎ方,一番,従姉妹,危ぶむ
英語,下りる,一家,威張る,過ち
ええ,折る,いつか,嫌がる,誤る
駅,お礼,一種,いよいよ,歩み
エレベーター,折れる,一瞬,煎る,歩む
鉛筆,終わり,一生,炒る,あら
おいしい,海岸,一層,入れ物,予め
多い,会議,一体,インキ,荒らす
大きい,会議室,一致,インタビュー,粗筋
大きな,会場,いつでも,引力,争い
大勢,会話,一般,ウーマン,改まる
お母さん,帰り,一方,ウール,荒っぽい
お菓子,変える,いつまでも,ウエートレス,凡ゆる
お金,科学,いつも,植木,あられ
起きる,鏡,移動,飢える,現われ
置く,掛ける,従兄弟,浮ぶ,現われる
奥さん,飾る,稲,浮かべる,有難う
お酒,火事,居眠り,浮く,有様
お皿,ガス,命,承る,有りのまま
伯父,堅,違反,受取,或る
教える,形,衣服,受け持つ,或いは
伯父,片付ける,居間,薄暗い,彼此
押す,課長,今に,薄める,合わす
遅い,勝つ,今にも,打合せ,合わせ
お茶,家内,否,打ち消す,慌ただしい
お手洗い,悲しい,以来,討つ,慌てる
お父さん,必ず,依頼,うっかり,暗殺
弟,お金持ち,いらいら,映す,暗算
男,彼女,いらっしゃい,写る,暗示
男の子,壁,医療,映る,案じる
一昨日,髪,岩,うどん,安静
一昨年,噛む,祝い,有無,案の定
大人,通う,祝う,埋める,余り
おなか,彼,言わば,敬う,依
同じ,乾く,いわゆる,裏返す,良い
お兄さん,代わり,印刷,裏口,伊井
お姉さん,変わる,印象,占う,否
おばあさん,考える,引退,恨み,いい加減
伯母さん,関係,引用,恨む,言い訳
お風呂,看護師,魚,羨ましい,家出
お弁当,簡単,うがい,羨む,家主
覚える,気,伺う,売上,如何
おまわりさん,機会,受け取る,売り切れ,生かす
重い,危険,動かす,売り切れる,雷
おもしろい,聞こえる,兎,売行き,如何に
泳ぐ,汽車,牛,うろうろ,如何にも
降りる,技術,失う,運河,怒り
終る,季節,後ろ,うんと,怒る
音楽,規則,嘘,英文,歪む
女,きっと,疑う,英和,粋
女の子,絹,内,ええと,域外
外国,厳しい,宇宙,液体,意気込む
外国人,気分,撃つ,エチケット,経緯
会社,決る,移す,絵の具,行き違い
階段,君,訴える,エプロン,行き成り
買い物,決める,うなる,偉い,異議
買う,気持ち,奪う,宴会,いく
返す,着物,馬,園芸,軍
帰る,客,うまい,演劇,戦
かかる,急,生まれ,円周,育成
かぎ,急行,梅,遠足,幾多
書く,教育,裏切る,延長,活ける
学生,教会,得る,煙突,異見
かける,競争,嬉しい,追い掛ける,意向
傘,興味,売れる,追い越す,移行
貸す,近所,噂,オイル,いざ
風,具合,運,応援,碑
風邪,空気,運転,王女,衣装
家族,空港,運動,応ずる,意地
方,草,柄,応接,苛める
学校,首,永遠,応対,移住
カップ,雲,永久,往復,弄る
家庭,比べる,影響,欧米,何れ
角,くれる,営業,応用,異性
かばん,暮れる,衛星,オーケストラ,遺跡
花瓶,君,栄養,おおざっぱ,依然
紙,毛,笑顔,大通り,依存
カメラ,経済,描く,オートメーション,委託
火曜日,警察,餌,オーバーコート,悪戯
辛い,景色,得る,大凡,頂
体,消しゴム,円,お帰り,戴きます
借りる,下宿,縁,おかけください,至って
軽い,決して,延期,おかげさまで,痛む
カレー,けれど,演技,おかず,痛める
カレンダー,原因,援助,拝む,炒める
川,けんかする,演説,お代わり,労る
かわいい,研究,演奏,補う,市
漢字,研究室,遠慮,おきのどくに,位地
木,見物,御,屋外,一々
黄色,子,老い,おくさん,一概に
黄色い,こう,追い付く,送り仮名,一見
消える,郊外,王,おげんきで,一言
聞く,講義,追う,怠る,一日
北,工業,王様,押える,一定
ギター,高校,王子,おさきに,著しい
汚い,高校生,応じる,納める,一同
喫茶店,工場,横断,治める,一人
切手,校長,終える,惜しい,一部
切符,交通,大いに,御辞儀,一部分
昨日,講堂,覆う,伯父さん,一別
九,高等学校,大家,小父さん,一面
牛肉,公務員,丘,叔父さん,一目
牛乳,国際,沖,おしゃれ,一様
今日,心,奥,おじゃまします,一律
教室,御主人,贈る,教わる,一連
兄弟,故障,起こる,おだいじに,一括
去年,ご存じ,幼い,落着く,一気
嫌い,答,収める,御手洗,一挙に
切る,ごちそう,おしゃべり,お出掛け,一切
着る,小鳥,汚染,お手伝いさん,一心
きれい,このあいだ,おそらく,おどかす,いっそ
キロ,このごろ,恐れる,落し物,一帯
キロ,細かい,恐ろしい,おととい,一敗
銀行,込む,お互い,おととし,一変
金曜日,米,穏やか,おとなしい,何時
薬,ごらんになる,男の人,驚かす,何時か
ください,これから,劣る,おねがいします,何時でも
果物,怖い,お腹,各々,何時の間にか
口,壊す,鬼,伯母さん,何時までも
靴,壊れる,帯,叔母さん,何時も
靴下,今度,お昼,おはよう,意図
国,今夜,溺れる,お参り,営む
曇り,最近,おまえ,おまたせしました,暇
曇る,最後,おめでとう,おまちください,異動
暗い,最初,思い出,おまちどおさま,挑む
クラス,坂,主に,おめでたい,稲光
グラム,探す,思わず,思い掛けない,古
来る,下る,泳ぎ,思い込む,祈り
車,盛ん,およそ,思いっ切り,鼾
黒,下げる,及ぼす,思い付く,今更
黒い,差し上げる,居る,重たい,未だ
警官,さっき,下す,おやすみ,移民
今朝,寂しい,降ろす,おやつ,厭々
消す,さ来月,音,親指,卑しい
結構,さ来週,恩,オルガン,いやに
結婚,騒ぐ,温暖,卸す,厭やらしい
月曜日,触る,温度,恩恵,愈々
玄関,産業,可,温室,意欲
元気,残念,課,温泉,苛々
五,市,会,温帯,入口
公園,字,回,御中,衣料
交差点,試合,害,女の人,威力
紅茶,仕方,会員,蚊,入る
交番,試験,絵画,カーブ,衣類
声,事故,海外,貝,色々
コート,地震,会計,開会,異論
コーヒー,時代,解決,会館,所謂
ここ,下着,会合,改札,印
午後,しっかり,外交,解散,員
九日,失敗,開始,海水浴,印鑑
九つ,辞典,解釈,回数,陰気
午前,品物,外出,回数券,隠居
答える,しばらく,改善,改正,上下
こちら,島,快適,快晴,浮かぶ
こっち,市民,回復,解説,受かる
コップ,事務所,飼う,改造,含嗽
今年,社会,替える,開通,受け入れ
言葉,社長,香り,回転,受け入れる
子供,自由,画家,解答,受け継ぐ
この,習慣,抱える,回答,受け付ける
御飯,住所,価格,外部,受け止める
コピーする,柔道,化学,解放,受け取り
困る,十分,輝く,開放,受身
これ,趣味,係,海洋,動き
今月,紹介,掛かる,概論,潮
今週,小学校,罹る,帰す,氏
こんな,小説,鍵,却って,渦
今晩,将来,限る,代える,埋まる
さあ,食料品,描く,反る,嘘つき
財布,女性,家具,家屋,打ち合わせ
魚,知らせる,学,係わる,打ち合わせる
先,調べる,額,書留,打ち切る
咲く,人口,覚悟,書取,打ち消し
作文,神社,確実,垣根,打ち込む
差す,親切,学者,掻く,団扇
雑誌,新聞社,学習,嗅ぐ,内訳
砂糖,水泳,隠す,架空,訴え
寒い,水道,拡大,各自,鬱陶しい
再来年,数学,確認,拡充,写し
三,過ぎる,学問,学術,空ろ
散歩,凄い,隠れる,各地,器
四,進む,影,拡張,雨天
塩,すっかり,陰,角度,腕前
しかし,すっと,欠ける,学年,饂飩
時間,捨てる,加減,学部,促す
仕事,砂,過去,格別,唸る
辞書,滑る,籠,確率,自惚れ
静か,隅,囲む,学力,甘い
下,済む,火災,掛け算,生まれつき
七,すり,菓子,可決,海路
質問,すると,家事,火口,産む
自転車,生活,賢い,下降,埋め込む
自動車,生産,歌手,重なる,梅干
死ぬ,政治,数,重ねる,末
字引,西洋,稼ぐ,飾り,裏返し
自分,世界,数える,火山,売り出し
閉まる,席,型,かしこまりました,売り出す
閉める,説明,肩,貸し出し,潤う
締める,背中,硬い,過失,五月蝿い
じゃ,線,方々,果実,売れ行き
写真,戦争,形,貸間,浮気
シャツ,先輩,刀,貸家,上手
シャワー,そう,語る,個所,上回る
十,育てる,勝ち,過剰,植わる
授業,卒業,価値,かじる,運営
宿題,祖父,がっかり,課税,うんざり
上手,祖母,活気,下線,運送
丈夫,それで,学期,カセット,運賃
しょうゆ,それに,格好,加速,云々
食堂,それほど,活動,加速度,運搬
知る,そろそろ,活用,固い,運命
白,そんな,悲しむ,堅い,運輸
白い,そんなに,必ずしも,片仮名,運用
新聞,退院,かなり,片付く,会
水曜日,大学生,金,塊,重
吸う,大事,可能,固まる,えい
スカート,大体,株,片道,映写
好き,たいてい,被る,傾く,英字
少ない,大分,構う,片寄る,衛生
すぐに,台風,我慢,学科,映像
少し,倒れる,上,学会,英雄
涼しい,だから,神,楽器,液
ストーブ,確か,雷,学級,役
スプーン,足す,髪の毛,担ぐ,閲覧
スポーツ,訪ねる,科目,括弧,獲物
ズボン,尋ねる,かもしれない,活字,襟
住む,正しい,火曜,活躍,縁
スリッパ,畳,空,活力,塩
する,立てる,柄,仮定,艶
座る,建てる,刈る,過程,園
背,例えば,彼等,課程,円滑
生徒,棚,川,仮名,縁側
セーター,楽しみ,河,仮名遣い,沿岸
せっけん,楽む,皮,鐘,婉曲
背広,たまに,革,加熱,演習
狭い,為,かわいそう,兼ねる,演出
ゼロ,足りる,かわいらしい,カバー,演じる
千,男性,缶,過半数,演ずる
先月,暖房,勘,被せる,沿線
先週,血,考え,釜,縁談
先生,チェックする,感覚,紙屑,遠方
洗濯,力,観客,神様,円満
全部,ちっとも,環境,剃刀,尾
掃除,ちゃん,歓迎,ガム,於
そうして,注意,観光,貨物,甥
そこ,中学校,観察,かゆい,追い込む
そちら,注射,感じ,歌謡,美味しい
そっち,駐車場,感謝,殻,追い出す
外,地理,患者,カラー,於いて
その,捕まえる,勘定,からかう,お出でになる
そば,付く,感情,空っぽ,老いる
空,漬ける,感じる,かるた,負う
それ,都合,感心,枯れる,応急
それから,伝える,関心,カロリー,黄金
それでは,続く,関する,かわいがる,黄色
大学,続ける,完成,乾かす,応募
大使館,包む,完全,渇く,おおい
大丈夫,妻,感動,為替,大方
大好き,つもり,監督,瓦,大柄
大切,釣る,管理,代る,大げさ
台所,丁寧,完了,間隔,大事
たいへん,適当,関連,換気,大ざっぱ
たいへん,手伝う,議員,感激,大筋
高い,手袋,記憶,関西,大空
たくさん,寺,気温,鑑賞,大幅
タクシー,点,機械,感ずる,大水
出す,店員,議会,間接,公
立つ,天気予報,期間,乾燥,お蔭
たて,電灯,機関,感想,お蔭様で
建物,電報,企業,観測,可笑しい
楽しい,展覧会,効く,寒帯,犯す
頼む,都,機嫌,官庁,侵す
たばこ,道具,気候,勘違い,お菜
たぶん,とうとう,岸,缶詰,臆病
食べ物,動物園,生地,乾電池,遅らす
食べる,遠く,生地,関東,遅れ
卵,通る,記事,観念,起こす
誰,特に,技師,乾杯,行い
誰か,特別,記者,看板,厳か
誕生日,とこや,傷,看病,傲る
だんだん,途中,期待,冠,長
小さい,特急,帰宅,漢和,押さえる
小さな,届ける,貴重,気圧,お先に
近い,泊まる,議長,器械,収まる
違う,止める,きちんと,着替え,納まる
近く,取り替える,きつい,機関車,治まる
地下鉄,泥棒,気付く,飢饉,お産
地図,どんどん,気に入る,器具,教え
茶色,直す,記入,期限,押し込む
ちゃわん,直る,記念,記号,惜しむ
ちょうど,治る,機能,刻む,お喋り
ちょっと,泣く,気の毒,儀式,お洒落
一日,無くなる,寄付,基準,押し寄せる
使う,亡くなる,希望,規準,お祖父さん
疲れる,投げる,基本,起床,お邪魔します
次,なさる,決まり,着せる,雄
着く,鳴る,気味,基礎,お世辞
机,なるべく,奇妙,気体,襲う
作る,なるほど,義務,基地,遅くとも
つける,慣れる,疑問,きっかけ,恐らく
勤める,苦い,逆,ぎっしり,恐れ
つまらない,二階建て,旧,基盤,恐れ入る
冷たい,逃げる,級,客席,お大事に
強い,日記,球,客間,煽てる
手,入院,九,ギャング,落ち込む
テープ,入学,休暇,キャンパス,落ち着き
テーブル,似る,休憩,休業,落ち葉
テープレコーダー,人形,急激,休講,落ちる
出かける,盗む,吸収,休息,おっかない
手紙,塗る,救助,給与,仰っしゃる
できる,ぬれる,急速,休養,乙
出口,ねだん,急に,清い,お使い
テスト,熱,給料,強化,お手上げ
では,寝坊,器用,境界,御手洗い
デパート,眠い,教科書,行事,弟
でも,眠る,競技,恐縮,落とす
出る,残る,行儀,教養,訪れる
テレビ,乗り換える,供給,行列,大人しい
天気,乗り物,教師,漁業,少女
電気,葉,教授,曲線,お供
電車,場合,強調,規律,衰える
電話,倍,共通,斬る,おどおど
戸,拝見,共同,気を付ける,脅かす
ドア,歯医者,恐怖,金魚,脅す
トイレ,運ぶ,協力,区域,驚き
どう,始める,強力,偶数,同い年
どうして,場所,さ,空想,女子
どうぞ,はず,局,空中,お願いします
動物,恥ずかしい,極,クーラー,各
どうも,発音,巨大,釘,自ずから
遠い,はっきり,嫌う,区切る,お早う
十日,花見,霧,櫛,お祖母さん
時々,林,切れ,くしゃみ,怯える
時計,払う,切れる,苦情,夥しい
どこ,番組,キロ,苦心,帯びる
所,反対,記録,屑,覚え
年,日,議論,崩す,御負け
図書館,火,金,薬指,お巡りさん
どちら,冷える,銀,崩れる,お宮
どっち,光,禁煙,砕く,お襁褓
とても,光る,金額,砕ける,お目出度う
どなた,引き出し,金庫,くたびれる,面
隣,ひきだす,禁止,くだらない,思い付き
どの,ひげ,金銭,下る,面白い
飛ぶ,飛行場,金属,唇,玩具
止まる,久しぶり,近代,口紅,重なる
友達,美術館,緊張,くっつく,趣
土曜日,非常に,筋肉,くっつける,赴く
鳥,引っ越す,金融,くどい,重役
とり肉,必要,金曜,句読点,重んじる
取る,ひどい,九,配る,重んずる
撮る,開く,句,工夫,お休み
どれ,昼間,食う,区分,お八
ナイフ,昼休み,偶然,組合せ,凡そ
中,拾う,臭い,組み立てる,及び
長い,増える,鎖,汲む,及ぶ
鳴く,深い,腐る,酌む,織
無くす,複雑,癖,悔しい,檻
なぜ,復習,管,悔やむ,折り返す
夏,部長,具体,クリーニング,織物
夏休み,普通,下さる,くるむ,織る
など,ぶどう,下り,くれぐれも,俺
七つ,太る,苦痛,咥える,愚か
七日,布団,ぐっすり,郡,疎か
名前,舟,区別,稽古,終わる
習う,不便,組,敬語,音色
並ぶ,踏む,組合,蛍光灯,温和
並べる,降り出す,組む,形式,仮
なる,文化,曇,継続,科
何,文学,位,毛糸,個
二,文法,暮らし,経度,下位
賑やか,別,暮らす,系統,改悪
肉,変,繰り返す,芸能,海運
西,返事,狂う,競馬,改革
日曜日,貿易,苦しい,警備,貝殻
荷物,法律,苦しむ,形容詞,階級
ニュース,僕,暮れ,形容動詞,海峡
庭,星,苦労,外科,会見
脱ぐ,ほとんど,加える,毛皮,介護
温い,ほめる,詳しい,激増,開催
ネクタイ,翻訳,加わる,下車,回収
猫,参る,訓,下旬,改修
寝る,負ける,軍,下水,怪獣
ノート,または,軍隊,削る,解除
登る,間違える,訓練,桁,回送
飲み物,間に合う,下,下駄,階層
飲む,周り,敬意,血圧,開拓
乗る,回る,経営,血液,会談
歯,漫画,計画,月給,改定
パーティー,真中,景気,傑作,改訂
はい,見える,経験,月末,街道
灰皿,湖,傾向,気配,介入
入る,味噌,警告,下品,開発
葉書,見つかる,計算,煙い,海抜
はく,見つける,掲示,蹴る,介抱
箱,皆,刑事,けれど,解剖
橋,港,芸術,険しい,回覧
はし,向かう,契約,見学,海流
始まる,迎える,経由,謙虚,改良
初め,昔,怪我,原稿,回路
初めて,虫,劇,原産,顧みる
走る,息子,劇場,原始,省みる
バス,娘,化粧,研修,返る
バター,無理,けち,厳重,顔付き
二十歳,召し上がる,結果,謙遜,掲げる
働く,珍しい,欠陥,県庁,踵
八,申し上げる,結局,限度,係り
二十日,申す,決心,現に,課外
花,もうすぐ,欠席,顕微鏡,書き取り
鼻,もし,決定,原理,書き取る
話,戻る,欠点,原料,掻き回す
話す,木綿,月曜,碁,欠く
早い,森,結論,恋しい,角
速い,焼く,煙,請う,核
春,約束,券,工員,格
貼る,役に立つ,県,強引,佳句
晴れ,焼ける,軒,公害,画
晴れる,優しい,喧嘩,高級,格差
半,痩せる,見解,公共,拡散
晩,やっと,限界,工芸,各種
パン,止む,現金,孝行,隔週
ハンカチ,止める,言語,交差,確信
番号,柔らかい,健康,講師,革新
晩御飯,湯,検査,工事,確定
半分,指,現在,公式,獲得
東,指輪,現実,口実,確保
引く,夢,現象,こうして,革命
弾く,揺れる,現状,校舎,確立
低い,用,建設,公衆,賭け
飛行機,用意,現代,香水,掛け
左,用事,建築,公正,駆け足
人,汚れる,見当,功績,家計
一つ,予習,検討,光線,駆けっこ
一月,予定,現場,高層,駆ける
一人,予約,憲法,構造,賭ける
暇,寄る,権利,交替,加工
百,喜ぶ,後,耕地,化合
病院,理由,語,交通機関,嵩張る
病気,利用,恋,校庭,嵩む
昼,両方,濃い,肯定,風車
昼御飯,旅館,恋人,高度,畏まりました
広い,留守,幸運,高等,華奢
フィルム,冷房,講演,合同,箇所
封筒,歴史,効果,後輩,火傷
プール,連絡,硬貨,公表,箇条書き
フォーク,沸かす,高価,鉱物,噛る
吹く,別れる,豪華,公務,微か
服,沸く,合格,項目,霞む
二つ,訳,交換,紅葉,化する
豚肉,忘れ物,航空,合理,擦る
二人,笑う,光景,交流,火星
二日,割合,合計,合流,化石
太い,割れる,攻撃,効力,河川
冬,アクセサリー,貢献,超える,化繊
降る,アジア,広告,コース,過疎
古い,アナウンサー,交際,コーラス,過多
ふろ,アフリカ,後者,焦がす,難い
文章,アメリカ,構成,国王,片思い
ページ,アルコール,高速,国籍,敵
下手,アルバイト,行動,国立,気質
ベッド,エスカレーター,強盗,ごくろうさま,片言
ペット,オートバイ,幸福,焦げる,片付け
部屋,カーテン,公平,凍える,傾く
辺,ガス,候補,心当たり,傾ける
ペン,ガソリン,考慮,心得る,固める
