N5.txt,N4.txt,N3.txt,N2.txt,N1.txt
,,,,鳥居
,,,,取り替え
,,,,取り組む
,,,,取り締まり
,,,,取り締まる
,,,,取り調べる
,,,,取り立てる
,,,,取り次ぐ
,,,,取り除く
,,,,取り引き
,,,,取り巻く
,,,,取り混ぜる
,,,,取り戻す
,,,,取り寄せる
,,,,取り分
,,,,蕩ける
,,,,とんだ
,,,,胴
,,,,働
,,,,同
,,,,同意
,,,,動員
,,,,同感
,,,,動機
,,,,同級
,,,,同居
,,,,動向
,,,,同士
,,,,同志
,,,,如何して
,,,,如何しても
,,,,同情
,,,,道場
,,,,何卒
,,,,どうぞ宜しく
,,,,同調
,,,,動的
,,,,同等
,,,,堂々
,,,,どうにか
,,,,導入
,,,,同封
,,,,同盟
,,,,どうやら
,,,,動揺
,,,,動力
,,,,独裁
,,,,読者
,,,,独自
,,,,独占
,,,,独創
,,,,何処
,,,,何処か
,,,,土産
,,,,土台
,,,,何方
,,,,土手
,,,,何方
,,,,怒鳴る
,,,,何の
,,,,土俵
,,,,土木
,,,,何れ
,,,,何々
,,,,度忘れ
,,,,鈍感
,,,,内閣
,,,,乃至
,,,,内臓
,,,,内部
,,,,内乱
,,,,内陸
,,,,苗
,,,,尚
,,,,尚更
,,,,中程
,,,,流し
,,,,長々
,,,,殴る
,,,,嘆く
,,,,投げ出す
,,,,和やか
,,,,名残
,,,,情け
,,,,情け深い
,,,,為さる
,,,,詰る
,,,,何故
,,,,何故なら
,,,,名高い
,,,,雪崩
,,,,懐く
,,,,名付ける
,,,,何気ない
,,,,何しろ
,,,,何卒
,,,,何も
,,,,何より
,,,,七日
,,,,名札
,,,,生臭い
,,,,生温い
,,,,生身
,,,,鉛
,,,,鈍る
,,,,並み
,,,,滑らか
,,,,嘗める
,,,,悩ましい
,,,,悩ます
,,,,悩み
,,,,平均
,,,,慣らす
,,,,馴らす
,,,,並びに
,,,,成り立つ
,,,,成る丈
,,,,成るべく
,,,,慣れ
,,,,馴れ馴れしい
,,,,難
,,,,南
,,,,なんか
,,,,何だか
,,,,なんだかんだ
,,,,何て
,,,,何と
,,,,何となく
,,,,何とも
,,,,何なり
,,,,荷
,,,,似通う
,,,,面皰
,,,,賑わう
,,,,悪い
,,,,憎しみ
,,,,肉親
,,,,肉体
,,,,逃げ出す
,,,,西日
,,,,滲む
,,,,日夜
,,,,日当
,,,,荷造り
,,,,担う
,,,,二人
,,,,にも拘らず
,,,,入手
,,,,入賞
,,,,入浴
,,,,尿
,,,,俄か
,,,,認識
,,,,妊娠
,,,,人情
,,,,任務
,,,,任命
,,,,抜かす
,,,,抜け出す
,,,,盗み
,,,,沼
,,,,音
,,,,値打ち
,,,,寝かせる
,,,,捻子
,,,,ねじ回し
,,,,捻じれる
,,,,鼠
,,,,妬む
,,,,強請る
,,,,熱湯
,,,,熱意
,,,,熱量
,,,,粘り
,,,,粘る
,,,,値引き
,,,,根回し
,,,,眠たい
,,,,練る
,,,,念
,,,,年鑑
,,,,年号
,,,,燃焼
,,,,年生
,,,,年長
,,,,燃料
,,,,年輪
,,,,脳
,,,,農耕
,,,,農場
,,,,農地
,,,,納入
,,,,逃す
,,,,逃れる
,,,,軒並み
,,,,鋸
,,,,望ましい
,,,,臨む
,,,,乗っ取る
,,,,長閑
,,,,罵る
,,,,延べ
,,,,飲み込む
,,,,乗り換え
,,,,乗り込む
,,,,刃
,,,,派
,,,,把握
,,,,肺
,,,,廃棄
,,,,配給
,,,,配偶者
,,,,拝啓
,,,,背景
,,,,背後
,,,,灰皿
,,,,廃止
,,,,拝借
,,,,排除
,,,,排水
,,,,敗戦
,,,,配置
,,,,配布
,,,,配分
,,,,配慮
,,,,配列
,,,,映える
,,,,破壊
,,,,墓地
,,,,捗る
,,,,果ない
,,,,諮る
,,,,図る
,,,,剥がす
,,,,破棄
,,,,泊
,,,,迫害
,,,,薄弱
,,,,白状
,,,,剥ぐ
,,,,派遣
,,,,励ます
,,,,励む
,,,,剥げる
,,,,鋏
,,,,柱
,,,,橋渡し
,,,,恥
,,,,弾く
,,,,始め
,,,,始めまして
,,,,恥じらう
,,,,恥じる
,,,,蓮
,,,,筈
,,,,弾む
,,,,破損
,,,,機
,,,,果たして
,,,,果たす
,,,,裸足
,,,,蜂蜜
,,,,発掘
,,,,発生
,,,,発足
,,,,初
,,,,発
,,,,発育
,,,,発芽
,,,,発言
,,,,発病
,,,,初耳
,,,,果て
,,,,果てる
,,,,話し合い
,,,,甚だ
,,,,華々しい
,,,,花びら
,,,,華やか
,,,,阻む
,,,,浜
,,,,浜辺
,,,,填まる
,,,,歯磨
,,,,填める
,,,,生やす
,,,,早める
,,,,流行
,,,,腹立ち
,,,,原っぱ
,,,,張り紙
,,,,遥か
,,,,破裂
,,,,腫れる
,,,,班
,,,,判
,,,,版
,,,,繁栄
,,,,反感
,,,,版画
,,,,反響
,,,,判決
,,,,反撃
,,,,反射
,,,,繁殖
,,,,繁盛
,,,,反する
,,,,判定
,,,,反応
,,,,半端
,,,,反発
,,,,反乱
,,,,氾濫
,,,,黴菌
,,,,賠償
,,,,倍率
,,,,馬鹿馬鹿しい
,,,,馬鹿らしい
,,,,漠然
,,,,爆弾
,,,,爆破
,,,,暴露
,,,,化ける
,,,,罰
,,,,伐
,,,,ばてる
,,,,発条
,,,,散蒔く
,,,,判
,,,,万
,,,,万人
,,,,万能
,,,,番目
,,,,非
,,,,費
,,,,延いては
,,,,控室
,,,,控える
,,,,悲観
,,,,匹
,,,,引き上げる
,,,,率いる
,,,,引き受ける
,,,,引き起こす
,,,,引き下げる
,,,,引きずる
,,,,引き取る
,,,,引き分け
,,,,否決
,,,,非行
,,,,日頃
,,,,久しい
,,,,久し振り
,,,,悲惨
,,,,秘書
,,,,比重
,,,,密か
,,,,浸す
,,,,一向
,,,,左利き
,,,,引っ掻く
,,,,引っ掛ける
,,,,必修
,,,,匹敵
,,,,未
,,,,必然
,,,,一息
,,,,単
,,,,人柄
,,,,一頃
,,,,人質
,,,,一筋
,,,,一まず
,,,,一人でに
,,,,酷い
,,,,日取り
,,,,雛
,,,,日向
,,,,非難
,,,,避難
,,,,日の丸
,,,,火花
,,,,日々
,,,,悲鳴
,,,,百科事典
,,,,百科辞典
,,,,冷やかす
,,,,日焼け
,,,,票
,,,,標語
,,,,ひょっと
,,,,平たい
,,,,比率
,,,,肥料
,,,,比例
,,,,疲労
,,,,広まる
,,,,貧困
,,,,品質
,,,,品種
,,,,貧弱
,,,,頻繁
,,,,美
,,,,微笑
,,,,美術
,,,,吃驚
,,,,びっしょり
,,,,描写
,,,,びり
,,,,微量
,,,,敏感
,,,,貧乏
,,,,歩
,,,,不意
,,,,封
,,,,封鎖
,,,,風習
,,,,風俗
,,,,風土
,,,,不可欠
,,,,深める
,,,,不吉
,,,,不況
,,,,布巾
,,,,福
,,,,復旧
,,,,複合
,,,,福祉
,,,,覆面
,,,,膨れる
,,,,不景気
,,,,老ける
,,,,布告
,,,,富豪
,,,,負債
,,,,相応しい
,,,,不在
,,,,不山戯る
,,,,負傷
,,,,不審
,,,,不振
,,,,不順
,,,,付属
,,,,負担
,,,,不調
,,,,復活
,,,,復興
,,,,沸騰
,,,,仏
,,,,不図
,,,,不当
,,,,不動産
,,,,赴任
,,,,腐敗
,,,,不評
,,,,不便
,,,,不服
,,,,普遍
,,,,踏まえる
,,,,文
,,,,不明
,,,,扶養
,,,,振り
,,,,振り出し
,,,,不良
,,,,浮力
,,,,震わせる
,,,,付録
,,,,分
,,,,憤慨
,,,,紛失
,,,,噴出
,,,,紛争
,,,,ふんだん
,,,,奮闘
,,,,粉末
,,,,部
,,,,部下
,,,,ぶかぶか
,,,,侮辱
,,,,武装
,,,,斑
,,,,物資
,,,,物体
,,,,物議
,,,,打付ける
,,,,仏像
,,,,無難
,,,,部門
,,,,ぶら下げる
,,,,ぶらぶら
,,,,武力
,,,,無礼
,,,,文化財
,,,,分業
,,,,文語
,,,,分散
,,,,分子
,,,,文書
,,,,分担
,,,,分配
,,,,分母
,,,,分離
,,,,分裂
,,,,兵器
,,,,閉口
,,,,平行
,,,,閉鎖
,,,,兵士
,,,,平常
,,,,平方
,,,,並列
,,,,辟易
,,,,臍
,,,,隔たる
,,,,謙る
,,,,経る
,,,,編
,,,,偏
,,,,変革
,,,,返還
,,,,偏見
,,,,返済
,,,,変遷
,,,,返答
,,,,変動
,,,,弁解
,,,,便宜
,,,,弁護
,,,,弁償
,,,,弁論
,,,,ぺこぺこ
,,,,穂
,,,,保育
,,,,倣
,,,,法案
,,,,崩壊
,,,,法学
,,,,放棄
,,,,宝器
,,,,封建
,,,,豊作
,,,,方策
,,,,奉仕
,,,,方式
,,,,放射
,,,,放射能
,,,,報酬
,,,,放出
,,,,報じる
,,,,報ずる
,,,,放置
,,,,法廷
,,,,報道
,,,,褒美
,,,,葬る
,,,,放り込む
,,,,放り出す
,,,,飽和
,,,,保温
,,,,捕獲
,,,,保管
,,,,補給
,,,,補強
,,,,保険
,,,,捕鯨
,,,,誇る
,,,,綻びる
,,,,保護
,,,,乾
,,,,干し物
,,,,保守
,,,,保障
,,,,補償
,,,,補充
,,,,補助
,,,,舗装
,,,,補足
,,,,発作
,,,,ほっと
,,,,頬っぺた
,,,,辺り
,,,,殆ど
,,,,解く
,,,,施す
,,,,保母
,,,,保養
,,,,捕吏
,,,,捕虜
,,,,滅びる
,,,,滅ぼす
,,,,本格
,,,,本館
,,,,本気
,,,,本質
,,,,本体
,,,,本音
,,,,本の
,,,,本能
,,,,本場
,,,,本文
,,,,本名
,,,,卯
,,,,防衛
,,,,防火
,,,,妨害
,,,,紡績
,,,,呆然
,,,,膨脹
,,,,冒頭
,,,,暴動
,,,,暴風
,,,,暴力
,,,,募金
,,,,牧師
,,,,母校
,,,,没収
,,,,坊ちゃん
,,,,ぼつぼつ
,,,,没落
,,,,ぼやく
,,,,ぼやける
,,,,藍褸
,,,,枚
,,,,埋蔵
,,,,舞う
,,,,真上
,,,,前売り
,,,,前置き
,,,,前もって
,,,,任す
,,,,負かす
,,,,賄う
,,,,曲がる
,,,,巻
,,,,紛らわしい
,,,,紛れる
,,,,膜
,,,,捲る
,,,,真心
,,,,誠
,,,,真に
,,,,まごつく
,,,,正しく
,,,,正に
,,,,勝る
,,,,増し
,,,,真下
,,,,況して
,,,,交える
,,,,交わる
,,,,麻酔
,,,,益々
,,,,不味い
,,,,股
,,,,跨がる
,,,,跨ぐ
,,,,瞬き
,,,,待ち合わせ
,,,,間違う
,,,,待ち遠しい
,,,,待ち望む
,,,,区々
,,,,末期
,,,,真っ二つ
,,,,的
,,,,纏まり
,,,,纏め
,,,,免れる
,,,,招き
,,,,麻痺
,,,,眩しい
,,,,目蓋
,,,,間々
,,,,間もなく
,,,,眉
,,,,鞠
,,,,丸ごと
,,,,丸っきり
,,,,丸で
,,,,丸々
,,,,丸める
,,,,満月
,,,,満場
,,,,真ん中
,,,,真ん前
,,,,真ん丸い
,,,,三
,,,,見合い
,,,,見合わせる
,,,,見落とす
,,,,未開
,,,,味覚
,,,,見掛ける
,,,,三日月
,,,,見方
,,,,見苦しい
,,,,見込み
,,,,未婚
,,,,惨め
,,,,未熟
,,,,微塵
,,,,見すぼらしい
,,,,見せびらかす
,,,,見せ物
,,,,満たす
,,,,乱す
,,,,乱れる
,,,,未知
,,,,導く
,,,,身近
,,,,密集
,,,,密接
,,,,見っともない
,,,,蜜
,,,,密度
,,,,見積り
,,,,未定
,,,,見通し
,,,,源
,,,,身なり
,,,,峰
,,,,見逃す
,,,,見晴らし
,,,,身振り
,,,,見舞
,,,,脈
,,,,未練
,,,,見渡す
,,,,民主
,,,,民宿
,,,,民族
,,,,民俗
,,,,六
,,,,無意味
,,,,向き
,,,,無口
,,,,向け
,,,,婿
,,,,無効
,,,,無言
,,,,毟る
,,,,無邪気
,,,,結び
,,,,結び付き
,,,,結び付く
,,,,結び付ける
,,,,無線
,,,,無駄遣い
,,,,無断
,,,,無知
,,,,無茶
,,,,無茶苦茶
,,,,空しい
,,,,無念
,,,,無能
,,,,無闇に
,,,,無用
,,,,群がる
,,,,無論
,,,,名産
,,,,名称
,,,,命中
,,,,名簿
,,,,名誉
,,,,明瞭
,,,,明朗
,,,,目方
,,,,恵み
,,,,恵む
,,,,目覚しい
,,,,目覚める
,,,,召す
,,,,雌
,,,,滅茶苦茶
,,,,目付き
,,,,滅亡
,,,,愛でたい
,,,,目眩
,,,,目盛
,,,,面会
,,,,免除
,,,,面する
,,,,面目
,,,,設ける
,,,,申し入れる
,,,,申し込み
,,,,申出
,,,,申し出る
,,,,申し分
,,,,盲点
,,,,猛烈
,,,,藻掻く
,,,,目録
,,,,目論見
,,,,模型
,,,,模索
,,,,若し
,,,,若しかしたら
,,,,若しかして
,,,,若しかすると
,,,,若しくは
,,,,若しも
,,,,齎らす
,,,,凭れる
,,,,持ち
,,,,持ち切り
,,,,物体ない
,,,,以て
,,,,専ら
,,,,持て成す
,,,,持てる
,,,,基
,,,,物置き
,,,,物好き
,,,,物足りない
,,,,最早
,,,,模範
,,,,模倣
,,,,揉める
,,,,腿
,,,,催す
,,,,漏らす
,,,,盛り上がる
,,,,漏る
,,,,漏れる
,,,,脆い
,,,,もろに
,,,,問
,,,,矢
,,,,哉
,,,,喧しい
,,,,野外
,,,,軈て
,,,,夜行
,,,,役職
,,,,役立つ
,,,,役場
,,,,夜具
,,,,優
,,,,屋敷
,,,,養う
,,,,社
,,,,野心
,,,,易い
,,,,安っぽい
,,,,休める
,,,,野生
,,,,矢鱈に
,,,,夜中
,,,,奴
,,,,やっ付ける
,,,,矢っ張り
,,,,野党
,,,,病
,,,,闇
,,,,病む
,,,,止むを得ない
,,,,稍
,,,,ややこしい
,,,,遣り通す
,,,,やり遂げる
,,,,遣る
,,,,和らげる
,,,,優位
,,,,憂鬱
,,,,有益
,,,,優越
,,,,勇敢
,,,,有機
,,,,夕暮れ
,,,,融資
,,,,有する
,,,,融通
,,,,優勢
,,,,優先
,,,,誘導
,,,,優美
,,,,有望
,,,,遊牧
,,,,夕焼け
,,,,有力
,,,,幽霊
,,,,誘惑
,,,,揺さぶる
,,,,茹でる
,,,,ゆとり
,,,,指差す
,,,,弓
,,,,揺らぐ
,,,,緩む
,,,,緩める
,,,,緩やか
,,,,世
,,,,好い
,,,,要因
,,,,溶液
,,,,用件
,,,,養護
,,,,用紙
,,,,様式
,,,,要する
,,,,要請
,,,,養成
,,,,様相
,,,,用品
,,,,洋風
,,,,用法
,,,,要望
,,,,余暇
,,,,予感
,,,,余興
,,,,預金
,,,,抑圧
,,,,浴室
,,,,抑制
,,,,欲深い
,,,,欲望
,,,,寄こす
,,,,横綱
,,,,葦
,,,,善し悪し
,,,,予想
,,,,余所見
,,,,余地
,,,,依って
,,,,余程
,,,,与党
,,,,呼び止める
,,,,夜更かし
,,,,夜更け
,,,,読み上げる
,,,,寄り掛かる
,,,,宜しく
,,,,弱まる
,,,,弱める
,,,,弱る
,,,,来場
,,,,酪農
,,,,落下
,,,,楽観
,,,,濫用
,,,,理屈
,,,,利根
,,,,利子
,,,,利潤
,,,,理性
,,,,利息
,,,,立体
,,,,立法
,,,,利点
,,,,略語
,,,,略奪
,,,,流
,,,,流通
,,,,了
,,,,料
,,,,領域
,,,,了解
,,,,領海
,,,,両極
,,,,良好
,,,,良識
,,,,良質
,,,,了承
,,,,良心
,,,,領地
,,,,領土
,,,,両立
,,,,旅客
,,,,旅券
,,,,履歴
,,,,理論
,,,,輪
,,,,林業
,,,,類似
,,,,類推
,,,,冷酷
,,,,冷蔵
,,,,冷淡
,,,,恋愛
,,,,連休
,,,,連日
,,,,連中
,,,,連帯
,,,,連邦
,,,,連盟
,,,,老衰
,,,,朗読
,,,,浪費
,,,,労力
,,,,碌
,,,,碌
,,,,露骨
,,,,論議
,,,,論理
,,,,和
,,,,我がまま
,,,,枠
,,,,惑星
,,,,技
,,,,態と
,,,,態々
,,,,煩わしい
,,,,渡り鳥
,,,,詫び
,,,,和風
,,,,和文
,,,,藁
,,,,割合に
,,,,割り当て
,,,,割り込む
,,,,割り算
,,,,割引き
,,,,悪者
,,,,アイデア
,,,,アクセル
,,,,アップ
,,,,アプローチ
,,,,アマチュア
,,,,アラブ
,,,,アルカリ
,,,,アルミ
,,,,アワー
,,,,アンケート
,,,,アンコール
,,,,イエス
,,,,インターチェンジ
,,,,インターナショナル
,,,,インターフォン
,,,,インテリ
,,,,インフォメーション
,,,,インフレ
,,,,ウェートレス
,,,,エアメール
,,,,エレガント
,,,,エンジニア
,,,,オーケー
,,,,オートマチック
,,,,オープン
,,,,オリエンテーション
,,,,オレンジ
,,,,オンライン
,,,,カーペット
,,,,カクテル
,,,,カット
,,,,カテゴリー
,,,,カムバック
,,,,カメラマン
,,,,カルテ
,,,,カンニング
,,,,ガイド
,,,,ガイドブック
,,,,ガレージ
,,,,キャッチ
,,,,キャリア
,,,,クイズ
,,,,クラブ
,,,,クレーン
,,,,グラフ
,,,,グレー
,,,,ゲスト
,,,,コーナー
,,,,コマーシャル
,,,,コミュニケーション
,,,,コメント
,,,,コンタクト
,,,,コンテスト
,,,,コントラスト
,,,,コントロール
,,,,コンパス
,,,,サイクル
,,,,サイズ
,,,,サボる
,,,,サンキュー
,,,,サンタクロース
,,,,シート
,,,,システム
,,,,シック
,,,,シナリオ
,,,,ショー
,,,,ショック
,,,,ジーパン
,,,,ジャズ
,,,,ジャンパー
,,,,ジャンプ
,,,,ジャンボ
,,,,ジャンル
,,,,スタジオ
,,,,スチーム
,,,,ストライキ
,,,,ストレス
,,,,ストロー
,,,,ストロボ
,,,,スピード
,,,,スプリング
,,,,スペース
,,,,スポーツカー
,,,,スラックス
,,,,セール
,,,,セクション
,,,,セックス
,,,,セレモニー
,,,,センス
,,,,ゼリー
,,,,ソース
,,,,ソックス
,,,,ソロ
,,,,タイトル
,,,,タイピスト
,,,,タイマー
,,,,タイミング
,,,,タイム
,,,,タイムリー
,,,,タイヤ
,,,,タイル
,,,,タレント
,,,,タワー
,,,,ダース
,,,,ダウン
,,,,ダブる
,,,,ダンプ
,,,,チームワーク
,,,,チェンジ
,,,,チャイム
,,,,チャンネル
,,,,ティッシュペーパー
,,,,テレックス
,,,,データ
,,,,デコレーション
,,,,デザート
,,,,デザイン
,,,,デッサン
,,,,デモンストレーション
,,,,トーン
,,,,トラブル
,,,,トランジスター
,,,,ドライ
,,,,ドライクリーニング
,,,,ドライバー
,,,,ドライブイン
,,,,ドリル
,,,,ナイター
,,,,ナプキン
,,,,ナンセンス
,,,,ニュー
,,,,ニュアンス
,,,,ネガ
,,,,ノイローゼ
,,,,ハンガー
,,,,バー
,,,,バッジ
,,,,バット
,,,,パジャマ
,,,,パチンコ
,,,,パトカー
,,,,パンク
,,,,ヒント
,,,,ビールス
,,,,ビジネス
,,,,ファイト
,,,,ファイル
,,,,ファン
,,,,フィルター
,,,,フェリー
,,,,フォーム
,,,,フロント
,,,,ブーツ
,,,,ブーム
,,,,ブザー
,,,,ブルー
,,,,ベース
,,,,ベスト
,,,,ベストセラー
,,,,ペア
,,,,ホース
,,,,ホール
,,,,ボイコット
,,,,ボルト
,,,,ポーズ
,,,,ポイント
,,,,ポジション
,,,,ポット
,,,,ポンプ
,,,,マーク
,,,,マスコミ
,,,,マッサージ
,,,,ミスプリント
,,,,ミセス
,,,,ミュージック
,,,,ミリ
,,,,ムード
,,,,メーカー
,,,,メッセージ
,,,,メディア
,,,,メロディー
,,,,モーテル
,,,,モニター
,,,,ヤング
,,,,ユニーク
,,,,ユニフォーム
,,,,ライス
,,,,ラベル
,,,,ランプ
,,,,ルーズ
,,,,ルール
,,,,レース
,,,,レギュラー
,,,,レクリエーション
,,,,レッスン
,,,,レディー
,,,,レバー
,,,,レンジ
,,,,レンタカー
,,,,レントゲン
,,,,ロープ
,,,,ローマ字
,,,,ロマンチック
,,,,ワット
